id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice
1,2.21,13.434718,2.6784406,0.23304676,0.4660935,0.053017322,11715,13
2,5.9500003,11.479032,15.305375,0.24167337,0.48334673,0.05912552,8295,35
3,3.91,15.390405,1.4880226,0.24450257,0.48900515,0.061226428,7968,23
4,7.82,21.172436,7.0149636,0.22243455,0.4448691,0.04609941,6902,46
5,2.21,13.5622635,1.9556868,0.4,0.8,0.2680826,5979,13
6,4.25,14.540107,2.3383212,0.18618037,0.37236074,0.027032753,5074,25
7,2.04,14.114957,2.8485005,0.4,0.8,0.2680826,5125,12
8,5.44,21.21495,14.497592,0.23468071,0.46936142,0.054140322,4374,32
9,5.9500003,10.416158,17.856272,0.20425053,0.40850106,0.0356926,3974,35
10,3.06,23.085608,5.356881,0.22412863,0.44825727,0.047160745,4031,18
11,4.25,22.575428,11.819151,0.27897775,0.5579555,0.09094888,3938,25
12,3.4,16.580824,3.10359,0.27353522,0.54707044,0.08572912,3964,20
13,4.76,22.74549,5.9520903,0.25406712,0.50813425,0.06869641,3619,28
14,1.87,19.556868,28.314945,0.19401509,0.38803017,0.030591102,2858,11
15,8.33,23.850876,9.14071,0.29273862,0.58547723,0.10508208,3265,49
16,8.33,23.595787,9.523345,0.28484994,0.5696999,0.096813746,3006,49
17,3.06,22.958063,5.9095755,0.4,0.8,0.2680826,2921,18
18,6.29,22.15028,30.143085,0.27245775,0.5449155,0.08472003,2753,37
19,5.61,7.6101727,15.51795,0.16864166,0.3372833,0.020090152,2148,33
20,5.1,20.832315,12.32933,0.22263707,0.44527414,0.046225443,2133,30
21,8.84,24.190996,9.735919,0.20213242,0.40426484,0.034593664,2359,52
22,5.44,8.120352,14.795197,0.1726577,0.3453154,0.021559887,1973,32
23,3.4,22.362854,4.464068,0.25122276,0.5024455,0.06641491,2140,20
24,10.88,29.675423,16.580824,0.17273925,0.3454785,0.021590453,2086,64
25,2.38,15.092801,28.910152,0.26678935,0.5335787,0.07954156,2116,14
26,4.59,21.470041,29.887997,0.29781222,0.59562445,0.11064102,2395,27
27,4.93,21.342495,29.335302,0.30331936,0.6066387,0.11689314,2284,29
28,5.27,24.063452,13.732323,0.20260005,0.4052001,0.03483431,1642,31
