id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray
1,7.48,6.4197545,27.294586,0.24498935,0.4899787,0.06159284,40752
2,6.63,23.000578,14.199987,0.20751888,0.41503775,0.037433587,39038
3,3.06,4.1239486,13.944898,0.270249,0.540498,0.082676284,39764
4,7.65,16.580824,8.8005905,0.28701484,0.5740297,0.09903796,37742
5,2.72,2.9760451,14.582622,0.23633027,0.47266054,0.05529001,36264
6,5.78,4.379038,15.26286,0.24684614,0.49369228,0.063003935,33740
7,7.14,16.070644,8.332927,0.17903322,0.35806644,0.02403751,33025
8,5.9500003,19.769444,12.754479,0.30021608,0.60043216,0.1133419,33619
9,9.18,1.7856271,17.091002,0.23433205,0.4686641,0.053899374,32754
10,2.72,3.656284,13.944898,0.4,0.8,0.2680826,34308
11,3.57,4.974247,14.582622,0.14595869,0.29191738,0.013025023,30780
12,4.08,5.2293367,14.752681,0.2218561,0.4437122,0.045740694,31403
13,7.14,14.497592,13.137114,0.19470042,0.38940084,0.030916426,27453
14,6.46,12.32933,14.667651,0.24469432,0.48938864,0.06137059,29768
15,4.08,1.870657,14.412561,0.19327265,0.3865453,0.030241257,28079
16,6.8,11.776636,11.394002,0.25242138,0.50484276,0.06737007,28393
17,7.31,9.650889,25.764048,0.15223324,0.3044665,0.01477805,26294
18,9.86,0.6802389,15.43292,0.18503122,0.37006244,0.026535278,26478
19,7.82,6.6323295,26.741892,0.4,0.8,0.2680826,27482
20,7.31,13.307174,11.436517,0.19085191,0.38170382,0.029119113,25451
21,5.9500003,12.626935,13.094599,0.18412,0.36824,0.026145173,25245
22,7.31,22.362854,13.987412,0.21641909,0.43283817,0.04245954,25026
23,9.18,16.240704,6.759874,0.21359755,0.4271951,0.040820416,24337
24,5.1,21.937704,14.029927,0.26622012,0.53244025,0.07903351,24361
25,5.1,21.55507,13.944898,0.28804398,0.57608795,0.100107126,24509
26,6.46,7.6101727,27.84728,0.22236894,0.44473788,0.04605863,24369
27,6.9700003,13.859868,14.540107,0.19157712,0.38315424,0.029452322,23474
28,9.690001,1.0628732,17.048487,0.2826238,0.5652476,0.0945616,24102
29,2.55,6.3772397,6.589814,0.1876876,0.3753752,0.02769462,22864
30,7.48,6.249695,25.42393,0.22976771,0.45953542,0.05081075,23117
31,7.65,11.946695,14.285017,0.16241363,0.32482725,0.017945519,23536
32,9.690001,0.25508958,17.473637,0.18753465,0.3750693,0.027626963,23869
33,5.61,22.702974,14.157473,0.17650717,0.35301435,0.023034336,26686
34,5.61,4.8041873,16.708368,0.17598088,0.35196176,0.022828905,23759
35,3.74,2.5934107,13.5622635,0.1735682,0.3471364,0.021902775,22246
36,8.16,9.353285,26.571833,0.21104778,0.42209557,0.039375946,22621
37,8.67,14.837711,9.05568,0.20775266,0.41550532,0.037560243,21679
38,6.63,11.351487,14.072442,0.18897815,0.3779563,0.028269844,22352
39,5.78,4.336523,16.198189,0.29338554,0.5867711,0.10578028,23230
40,6.9700003,21.087406,14.965256,0.19971266,0.39942533,0.0333661,21131
41,10.54,20.577227,24.446085,0.135621,0.271242,0.010448872,20478
42,7.48,9.013165,27.549675,0.17357653,0.34715307,0.021905927,20263
43,9.86,18.323935,12.2443,0.1437276,0.2874552,0.012436814,18936
44,2.21,6.0371203,8.673046,0.18272558,0.36545116,0.025555635,19248
45,11.05,22.107765,23.170637,0.14051208,0.28102416,0.011620628,19904
46,2.21,8.077837,7.822747,0.16164544,0.32329088,0.017692085,18443
47,10.54,17.558666,22.23531,0.15031174,0.30062348,0.014225493,18493
48,9.690001,0.21257466,14.795197,0.20640847,0.41281694,0.03683589,18445
49,8.67,14.242502,7.7802324,0.14536788,0.29073575,0.012867494,17207
50,7.14,20.704771,14.837711,0.33988383,0.67976767,0.16446753,17503
51,6.9700003,10.883822,13.307174,0.14341292,0.28682584,0.012355304,16830
52,10.03,15.26286,27.677221,0.12859851,0.25719702,0.008908332,16089
53,8.67,17.133518,25.84908,0.16679338,0.33358675,0.019436812,15936
54,4.08,7.5251427,8.970651,0.2185513,0.4371026,0.043726906,16265
55,5.78,10.713762,10.161069,0.1516962,0.3033924,0.014622202,15444
56,3.23,3.613769,13.349689,0.08702569,0.17405137,0.002760775,16840
57,5.78,19.769444,13.647293,0.32626408,0.65252817,0.1454777,16166
58,5.61,21.044891,14.710166,0.21875484,0.4375097,0.0438492,16677
59,1.7,5.9946055,7.0999937,0.19808722,0.39617443,0.03255802,16395
60,8.84,0.85029864,14.837711,0.12961452,0.25922903,0.009121149,15846
61,3.74,6.5472994,8.758076,0.21875578,0.43751156,0.043849763,15325
62,3.4,8.715561,8.5880165,0.13943869,0.27887738,0.011356343,14991
63,7.31,10.883822,25.976624,0.16165444,0.32330889,0.01769504,14759
64,5.78,12.882024,12.711965,0.4,0.8,0.2680826,15959
65,11.39,21.044891,15.135316,0.13986272,0.27972543,0.0114602605,14555
66,11.39,10.118554,30.993385,0.12751882,0.25503764,0.008685833,14182
67,7.65,15.560465,9.268255,0.4,0.8,0.2680826,15562
