id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray
1,2.55,8.162867,7.567658,0.21676016,0.43352032,0.042660605,14379
2,2.38,7.6526875,7.950292,0.17721145,0.3544229,0.023311164,12460
3,2.72,9.268255,7.355083,0.19574638,0.39149275,0.03141737,12039
4,2.55,11.096397,7.992807,0.19252625,0.3850525,0.029892242,11664
5,2.04,11.734121,9.183226,0.275,0.55,0.08711375,11704
6,1.87,11.351487,9.268255,0.275,0.55,0.08711375,11777
7,2.89,9.56586,9.735919,0.19328871,0.38657743,0.030248797,11383
8,2.38,8.502986,7.0149636,0.18888846,0.37777692,0.028229611,11450
9,1.53,8.970651,9.31077,0.18052693,0.36105385,0.024644192,10955
10,2.55,10.4586735,9.353285,0.217675,0.43535,0.043203037,11050
11,2.21,7.1425085,8.630531,0.16589414,0.33178827,0.019124132,10824
12,2.04,8.332927,6.334725,0.16539446,0.3307889,0.018951843,10706
