id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell
1,2.55,8.162867,7.567658,0.21676015853881836,0.4335203170776367,0.04266060294339425,14379,cell,1,1,8
2,2.38,7.6526875,7.950292,0.1772114485502243,0.3544228971004486,0.02331116272608421,12460,cell,1,1,6
3,2.72,9.268255,7.355083,0.19574637711048126,0.3914927542209625,0.03141736863483659,12039,cell,1,1,11
4,2.55,11.096397,7.992807,0.19252625107765198,0.38505250215530396,0.029892240788913244,11664,cell,1,1,10
5,2.04,11.734121,9.183226,0.2750000059604645,0.550000011920929,0.0871137519545859,11704,cell,1,1,4
6,1.87,11.351487,9.268255,0.2756875059753656,0.5513750119507312,0.08776873983824679,11777,cell,1,1,2
7,2.89,9.56586,9.735919,0.19328871369361877,0.38657742738723755,0.030248796281108818,11383,cell,1,1,12
8,2.38,8.502986,7.0149636,0.18888846039772034,0.3777769207954407,0.028229610731876405,11450,cell,1,1,7
9,1.53,8.970651,9.31077,0.18052692711353302,0.36105385422706604,0.024644191710797823,10955,cell,1,1,1
10,2.55,10.4586735,9.353285,0.21767500042915344,0.4353500008583069,0.04320303642499124,11050,cell,1,1,9
11,2.21,7.1425085,8.630531,0.16589413583278656,0.3317882716655731,0.019124131123797326,10824,cell,1,1,5
12,2.04,8.332927,6.334725,0.16539445519447327,0.33078891038894653,0.01895184286441824,10706,cell,1,1,3
